,cprcode,brcode,ib_cf_qty,new_ib_vs_stock_cv
889,0026461,1000,15,15
890,0026472,1000,32,32
891,0026567,1000,62,62
892,0026568,1000,10,10
893,0026656,1000,11,11
894,0026760,1000,0,0
895,0027051,1000,9,9
896,0027053,1000,22,22
897,0027097,1000,9,9
898,0027098,1000,8,8
899,0027099,1000,7,7
900,0027106,1000,7,7
901,0027108,1000,7,7
902,0027112,1000,48,48
903,0027205,1000,11,11
904,0027206,1000,11,11
905,0027231,1000,0,0
906,0027280,1000,13,13
907,0027359,1000,0,0
908,0027361,1000,0,0
909,0027362,1000,66,66
910,0027390,1000,0,0
911,0027428,1000,8,8
912,0027512,1000,38,38
913,0027631,1000,4,4
914,0027680,1000,3,3
915,0027684,1000,23,23
916,0027685,1000,71,71
917,0027689,1000,0,0
918,0027691,1000,0,0
919,0027754,1000,20,20
920,0027755,1000,9,9
921,0027937,1000,47,47
922,0027938,1000,59,59
923,0027943,1000,138,138
924,0027944,1000,170,170
925,0028019,1000,11,11
926,0028031,1000,15,15
927,0028258,1000,11,11
928,0028341,1000,32,32
929,0028342,1000,68,68
930,0028343,1000,0,0
931,0028382,1000,0,0
932,0028384,1000,13,13
933,0028385,1000,51,51
934,0028386,1000,24,24
935,0028387,1000,5,5
936,0028388,1000,29,29
937,0028390,1000,6,6
938,0028457,1000,0,0
939,0028493,1000,67,67
940,0028502,1000,13,13
941,0028503,1000,5,5
942,0028504,1000,6,6
943,0028505,1000,12,12
944,0028551,1000,0,0
945,0028652,1000,112,112
946,0028653,1000,280,280
947,0028715,1000,55,55
948,0028717,1000,27,27
949,0028793,1000,51,51
950,0028966,1000,25,25
951,0028970,1000,0,0
952,0028971,1000,0,0
953,0028973,1000,0,0
954,0029068,1000,4,4
955,0029093,1000,15,15
956,0029094,1000,0,0
957,0029095,1000,0,0
958,0029096,1000,14,14
959,0029099,1000,10,10
960,0029100,1000,5,5
961,0029102,1000,7,7
962,0029103,1000,0,0
963,0029104,1000,5,5
964,0029105,1000,0,0
965,0029106,1000,6,6
966,0029108,1000,9,9
967,0029192,1000,16,16
968,0029297,1000,7,7
969,0029349,1000,14,14
970,0029406,1000,7,7
971,0029407,1000,13,13
972,0029457,1000,0,0
973,0029462,1000,0,0
974,0029494,1000,0,0
975,0029495,1000,8,8
976,0029546,1000,3,3
977,0029547,1000,6,6
978,0029549,1000,0,0
979,0029564,1000,0,0
980,0029710,1000,57,57
981,0029714,1000,19,19
982,0029802,1000,7,7
983,0029803,1000,8,8
984,0029805,1000,22,22
985,0029820,1000,30,30
986,0029821,1000,40,40
987,0029887,1000,17,17
988,0029928,1000,15,15
989,0030014,1000,0,0
990,0030033,1000,25,25
991,0030065,1000,15,15
992,0030140,1000,0,0
993,0030141,1000,19,19
994,0030160,1000,70,70
995,0030161,1000,20,20
996,0030249,1000,0,0
997,0030250,1000,0,0
998,0030265,1000,0,0
999,0030401,1000,48,48
1000,0030754,1000,14,14
1001,0030779,1000,5,5
1002,0030874,1000,23,23
1003,0030909,1000,16,16
1004,0030952,1000,0,0
1005,0031042,1000,11,11
1006,0031043,1000,9,9
1007,0031080,1000,5,5
1008,0031082,1000,0,0
1009,0031147,1000,0,0
1010,0031213,1000,24,24
1011,0031221,1000,12,12
1012,0031270,1000,0,0
1013,0031281,1000,27,27
1014,0031304,1000,4,4
1015,0031311,1000,5,5
1016,0031312,1000,8,8
1017,0031314,1000,0,0
1018,0031318,1000,9,9
1019,0031319,1000,5,5
1020,0031418,1000,10,10
1021,0031428,1000,41,41
1022,0031433,1000,25,25
1023,0031441,1000,8,8
1024,0031487,1000,15,15
1025,0031492,1000,36,36
1026,0031493,1000,31,31
1027,0031514,1000,0,0
1028,0031564,1000,65,65
1029,0031616,1000,3,3
1030,0031617,1000,6,6
1031,0031628,1000,14,14
1032,0031684,1000,0,0
1033,0031725,1000,8,8
1034,0031726,1000,14,14
1035,0031727,1000,8,8
1036,0031801,1000,8,8
1037,0031802,1000,10,10
1038,0031803,1000,23,23
1039,0031804,1000,67,67
1040,0031805,1000,20,20
1041,0031806,1000,23,23
1042,0031825,1000,0,0
1043,0031826,1000,0,0
1044,0031835,1000,0,0
1045,0031844,1000,53,53
1046,0031881,1000,24,24
1047,0031930,1000,21,21
1048,0032090,1000,18,18
1049,0032143,1000,24,24
1050,0032191,1000,0,0
1051,0032228,1000,11,11
1052,0032302,1000,7,7
1053,0032321,1000,25,25
1054,0032347,1000,44,44
1055,0032378,1000,23,23
1056,0032603,1000,39,39
1057,0032655,1000,43,43
1058,0032656,1000,32,32
1059,0032657,1000,76,76
